model,device,task,n,entity_recall_mean,count_exact_mean,count_mae_mean,caption_sim_max_mean,caption_sim_mean_mean
gemma3n,dell,attributes,2480,0.4375711693548387,,,0.6331284601986408,0.5397239731490612
gemma3n,dell,caption_brief,2480,0.4872834677419355,,,0.7164501944065094,0.6136834453105926
gemma3n,dell,objects_and_counts,2480,0.7341491935483871,0.42192762096774195,0.6032369304556355,0.4976448179662228,0.4146108063578606
gemma3n,dell,scene_context,2480,0.5720560483870968,,,0.7141709372162819,0.6150058166027069
gemma3n,dell,spatial_relationships,2480,0.6103655241935484,,,0.6764357961654663,0.5848616881549359
gemma3n,thor,attributes,2480,0.45121713709677413,,,0.6346940837144852,0.5410446037024259
gemma3n,thor,caption_brief,2480,0.48420927419354837,,,0.714639130461216,0.6126926257491112
gemma3n,thor,objects_and_counts,2480,0.7296405241935483,0.4278459677419355,0.5719947115384616,0.4986627001583576,0.41492124170064926
gemma3n,thor,scene_context,2480,0.5702225806451613,,,0.7144614363551139,0.6154409129500389
gemma3n,thor,spatial_relationships,2480,0.6108596774193549,,,0.6773849012374878,0.5845137148797512
internvl2_2b,dell,attributes,2480,0.46481068548387094,,,0.6274287733078003,0.5271881110325456
internvl2_2b,dell,caption_brief,2480,0.4987221774193548,,,0.7354991704463959,0.6207899203002453
internvl2_2b,dell,objects_and_counts,2480,0.44399737903225805,0.20689435483870966,1.132625847457627,0.3722783889390528,0.3003887943550013
internvl2_2b,dell,scene_context,2480,0.6374385080645162,,,0.6854768278121949,0.5938669912576675
internvl2_2b,dell,spatial_relationships,2480,0.6197631048387097,,,0.6261872751712799,0.5367646852374077
internvl2_2b,orin,attributes,2480,0.45553649193548384,,,0.6270076586782932,0.5249515647560358
internvl2_2b,orin,caption_brief,2480,0.49444032258064513,,,0.7326736725926399,0.6184806991159916
internvl2_2b,orin,objects_and_counts,2480,0.44193810483870966,0.21042318548387098,1.1923983263598326,0.37326410221792755,0.30057087261816484
internvl2_2b,orin,scene_context,2480,0.6358449596774194,,,0.6846212752461434,0.5923493052244186
internvl2_2b,orin,spatial_relationships,2480,0.6159671370967742,,,0.626908219563961,0.5363507566332817
internvl2_2b,thor,attributes,2480,0.4646592741935484,,,0.6292620693862438,0.529022438724339
internvl2_2b,thor,caption_brief,2480,0.5041796370967742,,,0.7352215358972549,0.6209921418666839
internvl2_2b,thor,objects_and_counts,2480,0.4525372983870968,0.20534899193548387,1.2422021459227468,0.37221275939941406,0.300227038337267
internvl2_2b,thor,scene_context,2480,0.6303701612903225,,,0.6849468175649643,0.5944132958054542
internvl2_2b,thor,spatial_relationships,2480,0.615701814516129,,,0.6234540248155593,0.5340719046413899
moondream,dell,attributes,2480,0.388685,,,0.5958192778468132,0.4994097724840045
moondream,dell,caption_brief,2480,0.5797135080645162,,,0.740185597729683,0.6333414007186889
moondream,dell,objects_and_counts,2480,0.7158627419354838,0.42849310483870967,1.3211893246187363,0.5181672990679741,0.43038186899423597
moondream,dell,scene_context,2480,0.6287193548387097,,,0.7334242125511169,0.6304234346628189
moondream,dell,spatial_relationships,2480,0.5369643548387096,,,0.6191194740116597,0.5254160406082868
moondream,orin,attributes,2480,0.388546935483871,,,0.5975536800920963,0.5018704875349999
moondream,orin,caption_brief,2480,0.579723185483871,,,0.7388774568557739,0.6324235889315605
moondream,orin,objects_and_counts,2480,0.7109354838709677,0.4281288306451612,1.3353559860687854,0.5168012839198113,0.42925125881731513
moondream,orin,scene_context,2480,0.6296979032258064,,,0.7350904603362084,0.631974334347248
moondream,orin,spatial_relationships,2480,0.5370018548387097,,,0.6194293199062347,0.5260259531199932
moondream,thor,attributes,2480,0.3901485080645161,,,0.5980312973916531,0.502415559963882
moondream,thor,caption_brief,2480,0.5848992338709678,,,0.7408901105642318,0.6338629161715508
moondream,thor,objects_and_counts,2480,0.7124873387096774,0.42786237903225804,1.3357427010489509,0.5171755563974381,0.4290012746214867
moondream,thor,scene_context,2480,0.6248578225806452,,,0.7346069051623344,0.6321584141373634
moondream,thor,spatial_relationships,2480,0.5393454435483871,,,0.6205316036403179,0.5270674655675888
smolvlm2,dell,attributes,2480,0.4044758064516129,,,0.6106949484661222,0.5097574478566647
smolvlm2,dell,caption_brief,2480,0.5787413306451612,,,0.750391869366169,0.635090278327465
smolvlm2,dell,objects_and_counts,2480,0.7414397177419355,0.01440100806451613,1.088235294117647,0.4635528223156929,0.3830307962298393
smolvlm2,dell,scene_context,2480,0.5893814516129032,,,0.735186203944683,0.6244050618171691
smolvlm2,dell,spatial_relationships,2480,0.6097889112903225,,,0.6505773167431355,0.5550473868191242
smolvlm2,orin,attributes,2480,0.3984193548387097,,,0.6080565879806876,0.5094365267574787
smolvlm2,orin,caption_brief,2480,0.5852516129032258,,,0.7491831157207489,0.6343313803672791
smolvlm2,orin,objects_and_counts,2480,0.7427659274193549,0.022465524193548386,0.9,0.4655973274588585,0.38533679939508436
smolvlm2,orin,scene_context,2480,0.5926665322580644,,,0.7375706491231918,0.6263530717313289
smolvlm2,orin,spatial_relationships,2480,0.6134677419354839,,,0.6559264435112476,0.5602559708714485
smolvlm2,thor,attributes,2480,0.39286875,,,0.6070351399481296,0.5051651208013296
smolvlm2,thor,caption_brief,2480,0.578139314516129,,,0.7486709015607834,0.634314164417982
smolvlm2,thor,objects_and_counts,2480,0.7415092741935484,0.01910524193548387,0.9166681818181818,0.46210926728248597,0.3826350668281317
smolvlm2,thor,scene_context,2480,0.5823058467741936,,,0.7347799420833587,0.6248445608258247
smolvlm2,thor,spatial_relationships,2480,0.6108193548387096,,,0.6533018700361252,0.5573144829899073
